成分名,副作用レベル,副作用症状,禁忌条件,出典
ウバイ,中,トチモトのウバイ 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 トチモトのウバイ 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成,,PMDA iyakuSearch
ウヤク,中,トチモトのウヤク 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 トチモトのウヤク 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成,,PMDA iyakuSearch
カンキョウ,中,高砂カンキョウM 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 高砂カンキョウM 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成,,PMDA iyakuSearch
サンザシ,中,トチモトのサンザシ 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 トチモトのサンザシ 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組,,PMDA iyakuSearch
シソシ,中,トチモトのシソシ 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 トチモトのシソシ 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成,,PMDA iyakuSearch
ニンジン,中,小島竹節人参M 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 小島竹節人参M 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成 3.,,PMDA iyakuSearch
モッコウ,中,小島木香M 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 小島木香M 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成 3.2製剤の,,PMDA iyakuSearch
ヤクチ,中,小島益智M 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 小島益智M 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成 3.2製剤の,,PMDA iyakuSearch
アズレンスルホン酸ナトリウム,中,発疹、胃、吐、下痢、肝,,PMDA iyakuSearch
スクラルファート水和物,中,発疹、胃,,PMDA iyakuSearch
L−グルタミン,中,発疹、胃、吐、下痢、肝,,PMDA iyakuSearch
リパーゼ,中,発疹、胃、下痢,,PMDA iyakuSearch
デヒドロコール酸,高,ショック、吐、下痢、肝,,PMDA iyakuSearch
ニューラーゼ,中,胃,,PMDA iyakuSearch
ピレンゼピン塩酸塩水和物,高,発疹、胃、吐、下痢、肝,,PMDA iyakuSearch
トリメブチンマレイン酸塩,高,眠気、発疹、胃、吐、めまい,,PMDA iyakuSearch
アセンヤク末,中,ナカジマ アセンヤク末 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 ナカジマ アセンヤク末 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状,,PMDA iyakuSearch
タンニン酸アルブミン,高,ショック、胃、下痢、肝,,PMDA iyakuSearch
ビフィズス菌,中,ビフィスゲン散 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 ビフィスゲン散 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成 3.,,PMDA iyakuSearch
ビサコジル,中,ショック,,PMDA iyakuSearch
ハンゲ,中,小島半夏M 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 小島半夏M 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成 3.2製剤の,,PMDA iyakuSearch
チクセツニンジン,中,小島竹節人参M 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 小島竹節人参M 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成 3.,,PMDA iyakuSearch
ソヨウ,中,小島紫蘇葉M 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 小島紫蘇葉M 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成 3.2製,,PMDA iyakuSearch
コンドロイチン硫酸エステルナトリウム,高,発疹、ショック、胃、吐、めまい,,PMDA iyakuSearch
タウリン,中,発疹、胃、下痢、肝,,PMDA iyakuSearch
パンテノール,高,発疹、ショック,,PMDA iyakuSearch
ゴオウ,中,高砂ゴオウM 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 高砂ゴオウM 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成 3.2製,,PMDA iyakuSearch
ビスベンチアミン,中,胃、下痢,,PMDA iyakuSearch
ジクロロ酢酸ジイソプロピルアミン,中,肝,,PMDA iyakuSearch
ガジュツ,中,ガジュツダイコーM 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 ガジュツダイコーM 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組,,PMDA iyakuSearch
コウジン,中,発疹、胃、下痢,,PMDA iyakuSearch
センブリ,中,花扇センブリK 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 花扇センブリK 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成 3.,,PMDA iyakuSearch
ゴオウ末,中,ホリエ ゴオウ末K 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 ホリエ ゴオウ末K 処方せん医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成 3.2製,,PMDA iyakuSearch
エテンザミド,中,発疹、胃、吐、めまい、肝,,PMDA iyakuSearch
アリルイソプロピルアセチル尿素,高,眠気、発疹、ショック、胃、吐,,PMDA iyakuSearch
無水カフェイン,高,眠気、発疹、ショック、胃、吐,,PMDA iyakuSearch
ブロモバレリル尿素,高,眠気、発疹、ショック、胃、吐,,PMDA iyakuSearch
チアミンジスルフィド,中,発疹、胃、下痢,,PMDA iyakuSearch
ブチルスコポラミン臭化物,高,発疹、ショック、胃、吐、下痢,,PMDA iyakuSearch
トラネキサム酸,高,眠気、発疹、ショック、吐、下痢,,PMDA iyakuSearch
アスピリンアルミニウム,高,発疹、ショック、胃、吐、めまい,,PMDA iyakuSearch
イソプロピルアンチピリン,高,眠気、発疹、ショック、胃、吐,,PMDA iyakuSearch
セトチアミン塩酸塩水和物,中,胃、下痢、肝,,PMDA iyakuSearch
サリチルアミド,高,眠気、発疹、ショック、胃、吐,,PMDA iyakuSearch
カフェイン,中,胃、吐,,PMDA iyakuSearch
カノコソウ末,中,ナカジマ カノコソウ末 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 ナカジマ カノコソウ末 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状,,PMDA iyakuSearch
グリシン,中,発疹、吐,,PMDA iyakuSearch
ジフェンヒドラミン塩酸塩,高,眠気、発疹、吐、めまい、下痢,,PMDA iyakuSearch
d−クロルフェニラミンマレイン酸塩,高,眠気、発疹、ショック、吐、めまい,,PMDA iyakuSearch
ジプロフィリン,中,眠気、発疹、吐、めまい、下痢,,PMDA iyakuSearch
ジフェンヒドラミンサリチル酸塩,高,ショック、胃、吐、下痢,,PMDA iyakuSearch
サンキライ末,中,ウチダのサンキライ末M 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 ウチダのサンキライ末M 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状,,PMDA iyakuSearch
センキュウ末,中,ウチダのセンキュウ末M 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 ウチダのセンキュウ末M 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状,,PMDA iyakuSearch
センナ,中,高砂センナM 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 高砂センナM 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成 3.2製,,PMDA iyakuSearch
コウカ,中,コウカダイコーM 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 コウカダイコーM 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成,,PMDA iyakuSearch
リン酸水素カルシウム水和物,高,11.副作用 11.1重大な副作用 18.薬効薬理 18.1作用機序 19.有効成分に関する理化学的知見 22.包装 23.主要文献 24.文献請求先及び問い合わせ先 26.製造販売業者等 「山善」第二リン灰 添付文書番号 3219001X1138_1_03 企業コード 800084 作成又は改訂年月 2023年5月改訂(第1版) 日本標準商品分類番号 873216 薬効分類名 カルシウム剤 承認,,PMDA iyakuSearch
ガンマ−オリザノール,中,眠気、発疹、胃、吐、めまい,,PMDA iyakuSearch
トコフェロール酢酸エステル,中,発疹、胃、下痢,,PMDA iyakuSearch
ビタミンA油,中,発疹、胃、吐、めまい、下痢,,PMDA iyakuSearch
ビタミンC,中,胃、吐、下痢,,PMDA iyakuSearch
コレカルシフェロール,中,発疹、吐、下痢、肝,,PMDA iyakuSearch
シアノコバラミン,中,めまい、下痢,,PMDA iyakuSearch
ビタミンA,中,発疹,,PMDA iyakuSearch
溶性ピロリン酸第二鉄,中,発疹、ショック、胃、吐、下痢,,PMDA iyakuSearch
葉酸,中,肝,,PMDA iyakuSearch
ヒドロキソコバラミン酢酸塩,高,ショック、胃、肝,,PMDA iyakuSearch
フルスルチアミン,高,発疹、ショック、胃、吐、下痢,,PMDA iyakuSearch
レチノールパルミチン酸エステル,高,発疹、ショック、胃、吐、めまい,,PMDA iyakuSearch
フルスルチアミン塩酸塩,高,発疹、ショック、胃、吐、下痢,,PMDA iyakuSearch
ビオチン,中,下痢,,PMDA iyakuSearch
カノコソウ,中,トチモトのカノコソウ 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 トチモトのカノコソウ 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.,,PMDA iyakuSearch
ジオウ,中,小島地黄M 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 小島地黄M 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成 3.2製剤の,,PMDA iyakuSearch
センナエキス,中,発疹、胃、吐、下痢、肝,,PMDA iyakuSearch
サフラン,中,ウチダのサフランM 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 ウチダのサフランM 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組,,PMDA iyakuSearch
トウキ末,中,ウチダのトウキ末M 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 ウチダのトウキ末M 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組,,PMDA iyakuSearch
ヨクイニン末,中,トチモトのヨクイニン末 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 トチモトのヨクイニン末 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状,,PMDA iyakuSearch
ロキソプロフェンナトリウム水和物,高,眠気、発疹、ショック、胃、吐,,PMDA iyakuSearch
ジフェニドール塩酸塩,中,発疹、胃、吐、めまい、肝,,PMDA iyakuSearch
ケツメイシ,中,高砂ケツメイシM 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 高砂ケツメイシM 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成,,PMDA iyakuSearch
L−リシン塩酸塩,中,11.副作用 11.2その他の副作用 15.その他の注意 15.1臨床使用に基づく情報 17.臨床成績 17.1有効性及び安全性に関する試験 18.薬効薬理 18.1作用機序 19.有効成分に関する理化学的知見 20.取扱い上の注意 21.承認条件 22.包装 23.主要文献 24.文献請求先及び問い合わせ先 26.製造販売業者等 ライザケア輸液 添付文書番号 3253416A1020_2_02,,PMDA iyakuSearch
アスパラギン酸カリウム,高,胃、吐、下痢、肝,,PMDA iyakuSearch
マグネシウム,高,発疹、ショック、胃、吐、めまい,,PMDA iyakuSearch
L−アルギニン塩酸塩,高,発疹,,PMDA iyakuSearch
L−イソロイシン,中,発疹、胃、吐、下痢、肝,,PMDA iyakuSearch
L−バリン,中,発疹、胃、吐、下痢、肝,,PMDA iyakuSearch
L−ロイシン,中,発疹、胃、吐、下痢、肝,,PMDA iyakuSearch
L−アスパラギン酸マグネシウム,高,胃、吐、下痢、肝,,PMDA iyakuSearch
カリウム,高,発疹、ショック、胃、吐、めまい,,PMDA iyakuSearch
グルコン酸カルシウム水和物,高,胃、吐,,PMDA iyakuSearch
L−アスパラギン酸カリウム,高,胃、吐、下痢、肝,,PMDA iyakuSearch
乳酸カルシウム,中,ショック,,PMDA iyakuSearch
クエン酸鉄アンモニウム,中,発疹、胃、吐、下痢,,PMDA iyakuSearch
人参,高,発疹、胃、肝,,PMDA iyakuSearch
地黄,中,ウチダのジオウM 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 ウチダのジオウM 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成,,PMDA iyakuSearch
当帰,中,ウチダのトウキM 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 ウチダのトウキM 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成,,PMDA iyakuSearch
桂皮,中,ウチダのケイヒM 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 ウチダのケイヒM 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成,,PMDA iyakuSearch
甘草,中,ウチダのカンゾウM 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 ウチダのカンゾウM 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組,,PMDA iyakuSearch
芍薬,高,発疹、胃、下痢、肝,,PMDA iyakuSearch
茯苓,高,発疹、胃、めまい、下痢、肝,,PMDA iyakuSearch
蒼朮,中,ウチダのソウジュツM 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 ウチダのソウジュツM 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.,,PMDA iyakuSearch
黄耆,中,ウチダのオウギM 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 ウチダのオウギM 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成,,PMDA iyakuSearch
エタノール,中,発疹、肝,,PMDA iyakuSearch
乳酸カルシウム水和物,中,ショック,,PMDA iyakuSearch
〔ニンジン,中,小島竹節人参M 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 小島竹節人参M 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成 3.,,PMDA iyakuSearch
枸杞子,中,ウチダのクコシM 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 ウチダのクコシM 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成,,PMDA iyakuSearch
地骨皮,中,ウチダのジコッピM 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 ウチダのジコッピM 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組,,PMDA iyakuSearch
グルコン酸カルシウム,高,胃、吐,,PMDA iyakuSearch
オウギ末,中,ウチダのオウギ末M 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 ウチダのオウギ末M 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組,,PMDA iyakuSearch
タクシャ末,中,ウチダのタクシャ末M 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 ウチダのタクシャ末M 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.,,PMDA iyakuSearch
DL−メチオニン,高,肝,,PMDA iyakuSearch
センコツ,中,小島川骨M 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 小島川骨M 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成 3.2製剤の,,PMDA iyakuSearch
ビンロウジ,中,小島梹榔子M 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 小島梹榔子M 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成 3.2製,,PMDA iyakuSearch
ゴシュユ,中,小島呉茱萸M 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 小島呉茱萸M 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成 3.2製,,PMDA iyakuSearch
トウヒ,中,小島橙皮M 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 小島橙皮M 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成 3.2製剤の,,PMDA iyakuSearch
アキョウ,中,アキョウダイコーM 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 アキョウダイコーM 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組,,PMDA iyakuSearch
トウジン,中,高砂トウジンM 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 高砂トウジンM 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成 3.,,PMDA iyakuSearch
モクツウ,中,小島木通M 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 小島木通M 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成 3.2製剤の,,PMDA iyakuSearch
アマチャ,中,ナカジマ アマチャ 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 ナカジマ アマチャ 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組,,PMDA iyakuSearch
ビャクシ,中,小島白芷M 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 小島白芷M 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成 3.2製剤の,,PMDA iyakuSearch
ゼラチン,高,ショック,,PMDA iyakuSearch
